city,count,latitude,longitude
Mukha,9,13.319617000000001,43.25563
Doaba,9,33.622423,71.192994
Muang Pattani district,9,6.8686110000000005,101.25
Rawah,9,34.474993,41.905621999999994
Abu Qurayn,9,31.448914000000002,15.256008
Waeng district,9,5.852411,101.83807
Kohat,9,33.590603,71.44062
Svitlodarsk,9,48.434017,38.221252
Khwaja Ghar district,9,37.065833000000005,69.421111
Obe district,9,34.32915,63.232443999999994
Al-Fathah,9,35.050802000000004,43.558242
Gelan district,9,32.739996999999995,67.625093
Nihm district,9,15.749972,44.499986
Rueso,9,6.3914599999999995,101.517296
Darjeeling,9,27.046315999999997,88.271156
Silopi,9,37.248553,42.470552000000005
Dalori,9,11.761901,13.266306
Dangam district,9,35.002193,71.406188
Goundam,9,16.416545000000003,-3.666615
Na Pradu,9,6.678882000000001,101.147424
Maydan Shahr,9,34.362271,68.842057
Paghman district,9,34.591139,68.95694
Raman district,9,6.491822,101.3885
Hamburg,9,53.556487,9.910117
Larne,9,54.856471,-5.810265
Khok Pho district,9,6.6854,101.139526
Bambari,9,5.7635510000000005,20.674038
Chuap,9,6.241956,101.809503
Dibis district,9,35.670429,44.073953
Beida,9,32.760742,21.757212
Beit El,9,31.9416,35.222734
Chintagupha,9,18.252285,81.244812
Hadithah district,9,34.139439,42.378263000000004
Ras Lanuf,9,30.491792999999998,18.547119
Khash Rod district,9,31.662674,63.01475799999999
Chennai,9,13.052414,80.250825
Dhamar,9,14.597842000000002,44.386803
Sidon,9,33.550434,35.370964
Ibb,9,13.966667000000001,44.166667
Galgala,9,10.985956,49.055068
Kafrayah,9,35.990086,36.677223
Mahaday,9,2.339081,45.422544
Saravena,9,6.955331,-71.859149
Zab,9,35.271023,43.458084
Yingo district,9,6.398388,101.702512
Nawagai,9,34.404925,72.556802
Badush,9,36.443909999999995,42.951832
Mayo district,9,6.719991,101.412944
Kutum,8,14.209794,24.657404
Sylhet,8,24.912089,91.850123
Kalat,8,29.047852000000002,66.593323
Burka district,8,36.211121999999996,69.1684
Adana,8,36.991419,35.330828000000004
Bastar district,8,19.601869,81.426211
Abu Tawilah,8,31.211786,34.151035
Samtah,8,16.601688,42.94059
Sai Buri district,8,6.720569,101.5967
Ipekyolu district,8,38.500718,43.375591
Troitske,8,48.260742,37.859009
Azra district,8,34.171321999999996,69.63565799999999
Pagadian,8,7.825203,123.43737800000001
Al-Wardiyah,8,33.10008,44.583279
Dogubeyazit district,8,39.547074,44.068778
Buraiqeh,8,12.760069,44.890266
Al-Asiri,8,33.897803,44.813111
Gaziantep,8,37.067631,37.37315
Khok Pho,8,6.68078,101.131499
Kiryat Arba,8,31.529734,35.118225
Aqcha district,8,36.903154,66.190545
Zurmat district,8,33.330067,69.192392
Brussels,8,50.836426,4.367415
Aka Khel,8,33.818195,70.644798
Timbangan,8,6.88165,124.484012
Kohlu district,8,29.673863,68.715498
Jenin,8,32.460617,35.301247
Gothenburg,8,57.70887,11.97456
